,RATE A,RATE B,RATE C,Total
01/08/2018 00.15,,3.02,,3.02
01/08/2018 00.30,,3.04,,3.04
01/08/2018 00.45,,3.02,,3.02
01/08/2018 01.00,,2.87,,2.87
01/08/2018 01.15,,2.83,,2.83
01/08/2018 01.30,,2.37,,2.37
01/08/2018 01.45,,2.37,,2.37
01/08/2018 02.00,,2.35,,2.35
01/08/2018 02.15,,2.35,,2.35
01/08/2018 02.30,,2.43,,2.43
01/08/2018 02.45,,2.38,,2.38
01/08/2018 03.00,,2.29,,2.29
01/08/2018 03.15,,2.26,,2.26
01/08/2018 03.30,,2.3,,2.3
01/08/2018 03.45,,2.31,,2.31
01/08/2018 04.00,,2.39,,2.39
01/08/2018 04.15,,2.33,,2.33
01/08/2018 04.30,,2.34,,2.34
01/08/2018 04.45,,2.31,,2.31
01/08/2018 05.00,,2.26,,2.26
01/08/2018 05.15,,2.12,,2.12
01/08/2018 05.30,,1.68,,1.68
01/08/2018 05.45,,1.64,,1.64
01/08/2018 06.00,,1.47,,1.47
01/08/2018 06.15,,1.46,,1.46
01/08/2018 06.30,,1.81,,1.81
01/08/2018 06.45,,1.87,,1.87
01/08/2018 07.00,,1.92,,1.92
01/08/2018 07.15,,2.01,,2.01
01/08/2018 07.30,,2.07,,2.07
01/08/2018 07.45,,2.12,,2.12
01/08/2018 08.00,,2.7,,2.7
01/08/2018 08.15,,3.31,,3.31
01/08/2018 08.30,,3.63,,3.63
01/08/2018 08.45,,4.14,,4.14
01/08/2018 09.00,,4.66,,4.66
01/08/2018 09.15,4.74,,,4.74
01/08/2018 09.30,5.78,,,5.78
01/08/2018 09.45,6,,,6
01/08/2018 10.00,6.23,,,6.23
01/08/2018 10.15,7.01,,,7.01
01/08/2018 10.30,7.45,,,7.45
01/08/2018 10.45,7.91,,,7.91
01/08/2018 11.00,7.9,,,7.9
01/08/2018 11.15,7.94,,,7.94
01/08/2018 11.30,9.17,,,9.17
01/08/2018 11.45,8.92,,,8.92
01/08/2018 12.00,8.6,,,8.6
01/08/2018 12.15,8.53,,,8.53
01/08/2018 12.30,8.48,,,8.48
01/08/2018 12.45,8.35,,,8.35
01/08/2018 13.00,8.23,,,8.23
01/08/2018 13.15,8.01,,,8.01
01/08/2018 13.30,8.04,,,8.04
01/08/2018 13.45,8.32,,,8.32
01/08/2018 14.00,8.21,,,8.21
01/08/2018 14.15,7.55,,,7.55
01/08/2018 14.30,7.59,,,7.59
01/08/2018 14.45,7.24,,,7.24
01/08/2018 15.00,7.89,,,7.89
01/08/2018 15.15,8.49,,,8.49
01/08/2018 15.30,9.16,,,9.16
01/08/2018 15.45,10.21,,,10.21
01/08/2018 16.00,9.28,,,9.28
01/08/2018 16.15,9.1,,,9.1
01/08/2018 16.30,9.64,,,9.64
01/08/2018 16.45,9.94,,,9.94
01/08/2018 17.00,11.97,,,11.97
01/08/2018 17.15,25.48,,,25.48
01/08/2018 17.30,26.34,,,26.34
01/08/2018 17.45,25.89,,,25.89
01/08/2018 18.00,26.07,,,26.07
01/08/2018 18.15,24.93,,,24.93
01/08/2018 18.30,25.01,,,25.01
01/08/2018 18.45,24,,,24
01/08/2018 19.00,22.89,,,22.89
01/08/2018 19.15,22.62,,,22.62
01/08/2018 19.30,22.46,,,22.46
01/08/2018 19.45,10.98,,,10.98
01/08/2018 20.00,7.64,,,7.64
01/08/2018 20.15,6.68,,,6.68
01/08/2018 20.30,5.67,,,5.67
01/08/2018 20.45,5.37,,,5.37
01/08/2018 21.00,4.41,,,4.41
01/08/2018 21.15,3.38,,,3.38
01/08/2018 21.30,3.1,,,3.1
01/08/2018 21.45,3.01,,,3.01
01/08/2018 22.00,2.91,,,2.91
01/08/2018 22.15,,2.78,,2.78
01/08/2018 22.30,,2.82,,2.82
01/08/2018 22.45,,2.8,,2.8
01/08/2018 23.00,,2.82,,2.82
01/08/2018 23.15,,2.79,,2.79
01/08/2018 23.30,,2.48,,2.48
01/08/2018 23.45,,1.98,,1.98
01/08/2018 24.00,,1.91,,1.91
02/08/2018 00.15,,1.95,,1.95
02/08/2018 00.30,,2.21,,2.21
02/08/2018 00.45,,2.41,,2.41
02/08/2018 01.00,,2.4,,2.4
02/08/2018 01.15,,2.35,,2.35
02/08/2018 01.30,,2.42,,2.42
02/08/2018 01.45,,2.46,,2.46
02/08/2018 02.00,,2.42,,2.42
02/08/2018 02.15,,2.45,,2.45
02/08/2018 02.30,,2.42,,2.42
02/08/2018 02.45,,2.41,,2.41
02/08/2018 03.00,,2.48,,2.48
02/08/2018 03.15,,2.35,,2.35
02/08/2018 03.30,,2.28,,2.28
02/08/2018 03.45,,2.37,,2.37
02/08/2018 04.00,,2.33,,2.33
02/08/2018 04.15,,1.81,,1.81
02/08/2018 04.30,,1.79,,1.79
02/08/2018 04.45,,1.73,,1.73
02/08/2018 05.00,,1.7,,1.7
02/08/2018 05.15,,1.71,,1.71
02/08/2018 05.30,,1.73,,1.73
02/08/2018 05.45,,1.53,,1.53
02/08/2018 06.00,,1.5,,1.5
02/08/2018 06.15,,1.76,,1.76
02/08/2018 06.30,,1.8,,1.8
02/08/2018 06.45,,2.05,,2.05
02/08/2018 07.00,,2.3,,2.3
02/08/2018 07.15,,2.61,,2.61
02/08/2018 07.30,,3.05,,3.05
02/08/2018 07.45,,3.08,,3.08
02/08/2018 08.00,,3.36,,3.36
02/08/2018 08.15,,3.82,,3.82
02/08/2018 08.30,,4.26,,4.26
02/08/2018 08.45,,4.77,,4.77
02/08/2018 09.00,,4.04,,4.04
02/08/2018 09.15,4.02,,,4.02
02/08/2018 09.30,4.59,,,4.59
02/08/2018 09.45,4.79,,,4.79
02/08/2018 10.00,5.1,,,5.1
02/08/2018 10.15,5.4,,,5.4
02/08/2018 10.30,5.69,,,5.69
02/08/2018 10.45,6.33,,,6.33
02/08/2018 11.00,7.43,,,7.43
02/08/2018 11.15,7.85,,,7.85
02/08/2018 11.30,7.93,,,7.93
02/08/2018 11.45,7.41,,,7.41
02/08/2018 12.00,8.69,,,8.69
02/08/2018 12.15,9.22,,,9.22
02/08/2018 12.30,9.17,,,9.17
02/08/2018 12.45,9.33,,,9.33
02/08/2018 13.00,10.06,,,10.06
02/08/2018 13.15,28.79,,,28.79
02/08/2018 13.30,38.24,,,38.24
02/08/2018 13.45,38.32,,,38.32
02/08/2018 14.00,38.43,,,38.43
02/08/2018 14.15,38.61,,,38.61
02/08/2018 14.30,38.65,,,38.65
02/08/2018 14.45,38.54,,,38.54
02/08/2018 15.00,38.57,,,38.57
02/08/2018 15.15,39.16,,,39.16
02/08/2018 15.30,38.33,,,38.33
02/08/2018 15.45,38.07,,,38.07
02/08/2018 16.00,37.4,,,37.4
02/08/2018 16.15,37.3,,,37.3
02/08/2018 16.30,37.72,,,37.72
02/08/2018 16.45,37.82,,,37.82
02/08/2018 17.00,37.89,,,37.89
02/08/2018 17.15,38.8,,,38.8
02/08/2018 17.30,38.19,,,38.19
02/08/2018 17.45,37.65,,,37.65
02/08/2018 18.00,38.32,,,38.32
02/08/2018 18.15,38.3,,,38.3
02/08/2018 18.30,38.46,,,38.46
02/08/2018 18.45,36.68,,,36.68
02/08/2018 19.00,37.04,,,37.04
02/08/2018 19.15,36.72,,,36.72
02/08/2018 19.30,37.13,,,37.13
02/08/2018 19.45,36.78,,,36.78
02/08/2018 20.00,36.37,,,36.37
02/08/2018 20.15,35.83,,,35.83
02/08/2018 20.30,35.65,,,35.65
02/08/2018 20.45,35.78,,,35.78
02/08/2018 21.00,35.59,,,35.59
02/08/2018 21.15,35.52,,,35.52
02/08/2018 21.30,35.8,,,35.8
02/08/2018 21.45,35.66,,,35.66
02/08/2018 22.00,35.61,,,35.61
02/08/2018 22.15,,34.73,,34.73
02/08/2018 22.30,,34.42,,34.42
02/08/2018 22.45,,34.09,,34.09
02/08/2018 23.00,,34.45,,34.45
02/08/2018 23.15,,34.35,,34.35
02/08/2018 23.30,,34.3,,34.3
02/08/2018 23.45,,34.13,,34.13
02/08/2018 24.00,,17.07,,17.07
03/08/2018 00.15,,7.4,,7.4
