,RATE A,RATE B,RATE C,Total
01/05/2018 00.15,,,1.81,1.81
01/05/2018 00.30,,,1.7,1.7
01/05/2018 00.45,,,1.66,1.66
01/05/2018 01.00,,,1.67,1.67
01/05/2018 01.15,,,1.68,1.68
01/05/2018 01.30,,,1.65,1.65
01/05/2018 01.45,,,1.69,1.69
01/05/2018 02.00,,,1.66,1.66
01/05/2018 02.15,,,1.64,1.64
01/05/2018 02.30,,,1.64,1.64
01/05/2018 02.45,,,1.65,1.65
01/05/2018 03.00,,,1.66,1.66
01/05/2018 03.15,,,1.65,1.65
01/05/2018 03.30,,,1.7,1.7
01/05/2018 03.45,,,1.66,1.66
01/05/2018 04.00,,,1.66,1.66
01/05/2018 04.15,,,1.7,1.7
01/05/2018 04.30,,,1.71,1.71
01/05/2018 04.45,,,1.68,1.68
01/05/2018 05.00,,,1.71,1.71
01/05/2018 05.15,,,1.61,1.61
01/05/2018 05.30,,,1.6,1.6
01/05/2018 05.45,,,1.55,1.55
01/05/2018 06.00,,,1.56,1.56
01/05/2018 06.15,,,1.47,1.47
01/05/2018 06.30,,,1.5,1.5
01/05/2018 06.45,,,1.87,1.87
01/05/2018 07.00,,,1.88,1.88
01/05/2018 07.15,,,1.86,1.86
01/05/2018 07.30,,,1.81,1.81
01/05/2018 07.45,,,2,2
01/05/2018 08.00,,,2.33,2.33
01/05/2018 08.15,,,3.45,3.45
01/05/2018 08.30,,,3.88,3.88
01/05/2018 08.45,,,3.92,3.92
01/05/2018 09.00,,,4.16,4.16
01/05/2018 09.15,,,4.6,4.6
01/05/2018 09.30,,,4.88,4.88
01/05/2018 09.45,,,5.07,5.07
01/05/2018 10.00,,,5.43,5.43
01/05/2018 10.15,,,5.46,5.46
01/05/2018 10.30,,,5.42,5.42
01/05/2018 10.45,,,5.45,5.45
01/05/2018 11.00,,,5.38,5.38
01/05/2018 11.15,,,5.02,5.02
01/05/2018 11.30,,,5.46,5.46
01/05/2018 11.45,,,5.57,5.57
01/05/2018 12.00,,,5.56,5.56
01/05/2018 12.15,,,5.33,5.33
01/05/2018 12.30,,,5.32,5.32
01/05/2018 12.45,,,5.31,5.31
01/05/2018 13.00,,,5.64,5.64
01/05/2018 13.15,,,5.63,5.63
01/05/2018 13.30,,,5.99,5.99
01/05/2018 13.45,,,6.11,6.11
01/05/2018 14.00,,,6.31,6.31
01/05/2018 14.15,,,6.49,6.49
01/05/2018 14.30,,,6.77,6.77
01/05/2018 14.45,,,7.09,7.09
01/05/2018 15.00,,,7.21,7.21
01/05/2018 15.15,,,7.61,7.61
01/05/2018 15.30,,,8.12,8.12
01/05/2018 15.45,,,7.71,7.71
01/05/2018 16.00,,,7.64,7.64
01/05/2018 16.15,,,7.69,7.69
01/05/2018 16.30,,,7.52,7.52
01/05/2018 16.45,,,7.25,7.25
01/05/2018 17.00,,,6.55,6.55
01/05/2018 17.15,,,6.3,6.3
01/05/2018 17.30,,,6.34,6.34
01/05/2018 17.45,,,6.19,6.19
01/05/2018 18.00,,,6.25,6.25
01/05/2018 18.15,,,6.11,6.11
01/05/2018 18.30,,,6.17,6.17
01/05/2018 18.45,,,6.3,6.3
01/05/2018 19.00,,,6.45,6.45
01/05/2018 19.15,,,6.74,6.74
01/05/2018 19.30,,,6.78,6.78
01/05/2018 19.45,,,6.37,6.37
01/05/2018 20.00,,,6.07,6.07
01/05/2018 20.15,,,6.01,6.01
01/05/2018 20.30,,,5.27,5.27
01/05/2018 20.45,,,4.82,4.82
01/05/2018 21.00,,,4.07,4.07
01/05/2018 21.15,,,3.73,3.73
01/05/2018 21.30,,,3.26,3.26
01/05/2018 21.45,,,2.99,2.99
01/05/2018 22.00,,,2.81,2.81
01/05/2018 22.15,,,2.33,2.33
01/05/2018 22.30,,,2.17,2.17
01/05/2018 22.45,,,2.16,2.16
01/05/2018 23.00,,,2.32,2.32
01/05/2018 23.15,,,2.29,2.29
01/05/2018 23.30,,,2.14,2.14
01/05/2018 23.45,,,2.16,2.16
01/05/2018 24.00,,,2.18,2.18
02/05/2018 00.15,,2.03,,2.03
02/05/2018 00.30,,1.72,,1.72
02/05/2018 00.45,,1.69,,1.69
02/05/2018 01.00,,1.67,,1.67
02/05/2018 01.15,,1.74,,1.74
02/05/2018 01.30,,1.71,,1.71
02/05/2018 01.45,,1.68,,1.68
02/05/2018 02.00,,1.67,,1.67
02/05/2018 02.15,,1.7,,1.7
